5.9516,16.147,4.7933,27.707,11.53
5.7973,15.584,4.9034,27.482,9.4379
5.9681,15.413,4.8945,27.571,10.067
5.4941,15.747,4.3614,28.484,9.3417
4.9237,14.832,4.077,30.075,9.1116
5.6564,15.712,4.5292,27.892,9.2599
5.6332,16.1,4.2953,27.662,9.5218
5.8411,16.164,4.5489,27.66,9.5294
5.6077,15.834,4.154,27.491,8.749
5.7617,15.928,4.5934,27.393,9.6606
5.252,15.676,4.021,28.757,8.9462
5.0001,14.542,3.7489,30.139,8.7488
5.334,15.099,4.1847,27.997,9.2559
4.8863,15.248,3.8814,28.914,9.0146
5.885,16.191,4.7423,27.581,9.8604
5.7863,15.101,4.5127,27.743,9.6429
6.0886,16.549,4.7658,27.607,9.4111
5.2268,15.347,4.0362,28.556,9.2037
4.8201,15.814,3.8616,30.113,8.8886
5.7724,15.622,4.7359,27.743,9.588
5.4188,15.499,4.1873,27.826,9.7954
5.7474,15.685,4.1793,27.484,9.3629
5.8994,16.455,4.4308,28.12,9.4823
5.7029,16.219,4.4391,27.559,9.6402
5.248,15.171,3.9772,28.526,9.6451
4.8517,15.198,3.8757,30.334,8.8591
5.8797,16.102,4.3587,27.864,9.6502
5.6341,16.112,4.2215,27.657,9.5621
6.0034,16.126,4.5258,27.66,9.4926
5.907,15.829,4.5881,27.458,9.9972
6.1448,16.301,5.0473,27.269,10.265
