4.8169,4.5177,4.267,3.9567,3.5368,3.3855
4.8013,4.4502,4.0696,3.7826,3.3983,3.1996
4.7047,4.4714,4.148,3.8907,3.7372,3.5762
4.301,3.9217,3.74,3.5415,3.3155,3.1029
3.871,3.4772,3.2621,3.0223,2.8312,2.6617
4.4443,4.0687,3.8508,3.6804,3.4189,3.1862
4.4448,4.068,3.8622,3.5308,3.2582,3.025
4.6782,4.1687,3.9383,3.6433,3.3634,3.1926
4.4326,3.9128,3.7411,3.5466,3.2852,3.0455
4.8387,4.3662,4.1234,3.9119,3.5768,3.2472
3.9164,3.659,3.5218,3.3607,3.1256,2.8469
3.5556,3.2119,3.0502,2.8348,2.6943,2.5662
4.1155,3.8008,3.6613,3.4667,3.1151,2.9719
3.5149,3.1612,2.9923,2.9358,2.7645,2.6115
4.825,4.4115,4.2273,3.9365,3.7134,3.3629
4.6791,4.2557,3.9948,3.8551,3.5671,3.312
4.7666,4.445,4.1479,3.943,3.6834,3.3955
3.9191,3.6053,3.438,3.1785,3.0282,2.8444
3.6986,3.3425,3.1485,3.0233,2.8465,2.6857
4.8026,4.2933,4.0768,3.8396,3.5488,3.3323
4.392,3.9205,3.7247,3.5217,3.2089,3.0684
4.3565,3.9468,3.7444,3.4616,3.2112,3.0452
4.5085,4.0426,3.7087,3.5977,3.275,3.207
4.504,4.0905,3.8246,3.6542,3.4109,3.3114
3.7521,3.5741,3.4121,3.2275,2.9495,2.8423
3.5689,3.3371,3.0789,2.906,2.6831,2.5736
4.7123,4.1793,4.0524,3.8119,3.4056,3.3106
4.4913,3.9679,3.8335,3.5403,3.2836,3.1156
4.6731,4.2322,4.0752,3.8096,3.6072,3.42
4.6887,4.3315,3.9283,3.8293,3.5812,3.4364
5.1823,4.6665,4.454,3.9894,3.7564,3.4448
