0.39888,0.36237,0.34442,0.25996,0.21256,0.17914,32.209,29.232,27.769,20.958,17.291,14.393
0.35806,0.30095,0.2796,0.24535,0.20121,0.17984,38.363,32.213,30.064,26.378,21.365,19.532
0.34205,0.28498,0.28155,0.22981,0.19595,0.17116,33.288,27.719,27.27,22.474,18.885,16.993
0.37011,0.29183,0.27166,0.21835,0.15645,0.14282,33.62,26.45,24.66,19.74,14.099,13.036
0.36199,0.33018,0.32829,0.25764,0.1831,0.15937,34.437,31.273,31.238,24.281,17.63,15.351
0.42331,0.37868,0.36061,0.3186,0.24047,0.20484,26.415,23.351,22.381,20.041,15.156,12.767
0.42912,0.36131,0.3363,0.32323,0.26281,0.23486,27.279,22.954,21.286,20.681,16.556,14.634
0.37813,0.31476,0.32177,0.28539,0.21993,0.17354,27.963,23.205,23.646,21.113,16.183,12.639
0.39096,0.35303,0.33894,0.3278,0.21696,0.19733,38.034,34.327,33.026,31.887,21.09,19.086
0.45863,0.40549,0.38346,0.37089,0.23,0.20195,29.603,26.063,24.672,23.968,14.843,12.852
0.34489,0.33711,0.31499,0.29338,0.22804,0.20292,29.292,28.606,26.847,24.768,19.654,17.711
0.45788,0.41897,0.39477,0.35965,0.2353,0.22197,27.581,25.304,23.956,21.877,14.311,13.709
0.45172,0.38732,0.38464,0.33839,0.26183,0.20599,33.054,28.336,28.1,24.98,19.137,15.344
0.36678,0.33411,0.30883,0.2987,0.20733,0.18078,32.494,29.605,27.188,26.474,18.048,16.143
0.41581,0.39141,0.35564,0.34151,0.24257,0.21043,27.849,26.276,24.123,22.964,16.113,14.17
0.36498,0.34295,0.31673,0.29159,0.21188,0.18769,29.763,28.039,25.847,23.784,17.401,15.281
0.47709,0.45341,0.42585,0.36626,0.23211,0.21447,30.725,29.239,27.463,23.271,14.989,13.888
0.32514,0.30362,0.25591,0.24789,0.1669,0.15645,29.916,28.025,23.589,22.732,15.228,14.357
0.35061,0.28459,0.25218,0.25853,0.15642,0.13791,38.368,31.176,27.569,28.25,17.115,15.561
0.4919,0.45323,0.43995,0.40074,0.26166,0.24047,19.601,17.944,17.359,15.927,10.359,9.7333
0.45626,0.3911,0.38971,0.38151,0.25423,0.24788,24.846,21.204,21.212,20.77,14.022,13.713
0.57841,0.41824,0.34616,0.31248,0.22328,0.20514,31.878,23.098,19.146,17.208,12.159,11.264
0.51583,0.3631,0.35044,0.33981,0.25595,0.21871,24.834,17.367,16.774,16.464,12.359,10.568
0.48139,0.50721,0.45019,0.38732,0.29148,0.25448,25.994,27.482,24.157,20.728,15.855,13.574
0.46521,0.46009,0.41783,0.39232,0.24845,0.22122,34.52,34.207,31.168,29.055,18.254,16.49
0.4289,0.36001,0.30961,0.29167,0.20834,0.19252,39.885,33.423,28.621,27.027,19.368,17.983
0.51594,0.43305,0.37911,0.36165,0.22254,0.22426,45.075,37.731,32.844,31.337,19.662,19.202
0.44324,0.37927,0.3624,0.34287,0.21946,0.20734,38.437,32.882,31.303,29.794,19.251,18.469
0.4367,0.37471,0.35337,0.32192,0.20901,0.18883,33.763,28.988,27.564,25.013,16.119,14.726
0.45136,0.3847,0.34045,0.34372,0.20593,0.20987,33.381,28.23,25.133,25.846,15.201,14.825
0.48199,0.39756,0.37861,0.35047,0.23132,0.2043,28.557,23.533,22.428,20.782,13.738,12.548
