0.21912,0.19355,0.18253,0.17345,6.0287,5.3196,5.0287,4.7338
0.22074,0.19819,0.19431,0.17722,6.0438,5.4311,5.3221,4.8829
0.21994,0.20002,0.201,0.19142,6.0048,5.4725,5.4968,5.2147
0.20679,0.19486,0.18359,0.17288,5.9089,5.5642,5.2362,4.937
0.17032,0.16279,0.14459,0.13442,5.2662,5.0188,4.4843,4.1636
0.20786,0.19931,0.18481,0.17197,5.8065,5.5588,5.1731,4.8366
0.21274,0.20206,0.1918,0.18329,5.8963,5.6013,5.3166,5.0902
0.22179,0.20501,0.1997,0.18741,6.0712,5.6119,5.4657,5.1464
0.20563,0.20087,0.19184,0.1731,5.6858,5.5545,5.297,4.7959
0.22263,0.21436,0.20581,0.19709,6.0286,5.8172,5.5675,5.3396
0.19687,0.18072,0.16937,0.15516,5.6902,5.2149,4.8809,4.4994
0.17938,0.15362,0.14181,0.13073,5.5567,4.7531,4.3879,4.0588
0.19691,0.18593,0.17912,0.16904,5.5332,5.2245,5.0308,4.7384
0.18515,0.16811,0.15872,0.14381,5.4065,4.9053,4.6295,4.2103
0.23229,0.21894,0.1979,0.19415,6.3764,6.0031,5.4386,5.3714
0.22351,0.20932,0.19958,0.19657,6.1667,5.7789,5.5017,5.4405
0.22708,0.21467,0.20283,0.19768,6.1848,5.8509,5.5295,5.3522
0.18931,0.18085,0.16626,0.15487,5.4724,5.2329,4.8126,4.491
0.175,0.16262,0.14311,0.13283,5.405,5.0366,4.4249,4.0943
0.22018,0.21003,0.19798,0.18694,6.0902,5.8067,5.4847,5.1881
0.21284,0.19565,0.18747,0.17511,5.9247,5.449,5.2238,4.8849
0.21856,0.19452,0.18942,0.17988,6.0188,5.35,5.2002,4.9647
0.21044,0.20089,0.19088,0.18056,5.8462,5.5739,5.2912,5.0522
0.21488,0.20161,0.19308,0.18609,5.8862,5.5347,5.2766,5.0848
0.19451,0.18723,0.16611,0.15195,5.6211,5.4097,4.7805,4.4213
0.17913,0.16124,0.14534,0.13149,5.5468,4.9992,4.513,4.09
0.22035,0.21279,0.1927,0.18801,6.1019,5.8791,5.3498,5.1869
0.20218,0.20308,0.18786,0.17892,5.6094,5.6339,5.2142,4.9481
0.22576,0.21179,0.19987,0.1868,6.1711,5.7727,5.4606,5.1298
0.22415,0.20775,0.19656,0.18923,6.1713,5.7254,5.4032,5.2011
0.23562,0.22573,0.2144,0.20398,6.3761,6.1016,5.8027,5.5003
