0.17523,0.15494,0.14497,0.1288,0.12235,4.8168,4.2627,3.9885,3.5439,3.3654
0.17505,0.15271,0.13948,0.12606,0.11803,4.8012,4.1838,3.8253,3.4552,3.214
0.17248,0.15425,0.14401,0.13285,0.12414,4.7045,4.213,3.9381,3.6251,3.4151
0.15052,0.13064,0.12367,0.11298,0.10761,4.3003,3.7347,3.5253,3.2411,3.0538
0.12532,0.10515,0.09975,0.091992,0.086981,3.87,3.2494,3.0767,2.8511,2.6878
0.15908,0.14041,0.12969,0.11924,0.11667,4.444,3.9237,3.6214,3.3365,3.2678
0.16029,0.13973,0.13213,0.11842,0.10987,4.4442,3.8766,3.6643,3.2852,3.05
0.17067,0.14312,0.13497,0.12034,0.11167,4.6774,3.9259,3.6937,3.3012,3.0605
0.16029,0.13437,0.12792,0.11725,0.11296,4.4318,3.7143,3.5475,3.2343,3.1219
0.17838,0.15455,0.14219,0.13307,0.12123,4.8383,4.1881,3.8589,3.6194,3.3012
0.1356,0.12131,0.1144,0.10866,0.1032,3.9161,3.4988,3.309,3.1511,2.9806
0.1148,0.09713,0.092888,0.086206,0.081573,3.5552,3.0101,2.8757,2.6567,2.5396
0.1464,0.13193,0.12052,0.11187,0.10243,4.1153,3.71,3.3924,3.137,2.8711
0.12045,0.10413,0.10059,0.095546,0.087402,3.5149,3.0406,2.9343,2.7898,2.5424
0.17593,0.1537,0.1453,0.13278,0.12362,4.8244,4.2188,3.9894,3.6475,3.4107
0.16961,0.15077,0.13954,0.12986,0.12656,4.6789,4.163,3.8527,3.5952,3.4951
0.17494,0.1541,0.1436,0.13549,0.13038,4.7659,4.1988,3.9162,3.694,3.5505
0.13548,0.11928,0.11215,0.10122,0.096102,3.9189,3.4454,3.2413,2.9259,2.7854
0.11976,0.10288,0.097145,0.0906,0.083758,3.6986,3.1785,2.9977,2.7976,2.5897
0.17374,0.14827,0.13839,0.12859,0.11979,4.8023,4.1056,3.8332,3.5535,3.3225
0.15783,0.13367,0.12798,0.11752,0.11012,4.3917,3.7268,3.5532,3.2732,3.0548
0.15826,0.1341,0.12731,0.116,0.10963,4.3562,3.6923,3.5026,3.1967,3.0007
0.16229,0.13979,0.1301,0.12299,0.11122,4.5082,3.884,3.6098,3.4241,3.0809
0.16415,0.14219,0.13158,0.12393,0.11494,4.5039,3.8971,3.6011,3.408,3.154
0.12999,0.11535,0.11178,0.10284,0.097288,3.7521,3.3316,3.2162,2.9721,2.8064
0.11515,0.10075,0.094801,0.08789,0.081533,3.569,3.1257,2.9406,2.7252,2.5304
0.17023,0.14323,0.13814,0.12527,0.11753,4.712,3.9713,3.8254,3.4598,3.2545
0.16188,0.13459,0.13238,0.1179,0.11067,4.4911,3.7327,3.6658,3.2789,3.0668
0.17099,0.14571,0.14305,0.12927,0.12042,4.673,3.9888,3.8968,3.5375,3.2735
0.17019,0.14646,0.13895,0.12886,0.12134,4.6884,4.0385,3.832,3.5534,3.3313
0.19145,0.16412,0.15239,0.13684,0.12952,5.1822,4.4404,4.1218,3.7027,3.4869
